author_id,name
974856,John Sanchez
458761,Kenneth Carlson
647178,Melissa Vega
131081,Brian Gates
489486,Robert Smith
73746,Craig Sampson
626715,Ryan Potts
845854,Stephanie Armstrong
716831,Robin Ramirez
823327,Allison Becker
608291,Donald Mcdonald
350247,Jill Powers
616494,Jenna Adams
778291,Thomas Rosales
235576,Denise White
430137,Thomas Mejia
645179,David Stewart
649278,Eric Davis
686145,Ms. Kimberly Grant
483397,Helen Baldwin
639046,Roger Bryan
583752,Victor Williams
913482,Robert Guzman
217167,Eric Hoover
405585,Anthony Velez
317522,Tom Smith
114771,Brittany Holland
735319,David Boyer
831577,Jose Hester
249949,Christopher Graham
862302,Tyler Williams
647263,Ryan Wells
913501,Jeffrey Sparks
733278,Anthony Williams
184417,Jerry Harris
317539,Thomas Lewis
49252,Pamela Thomas
295021,Brianna Martin
385134,Teresa Brown MD
573549,Krystal Kelly
837744,Henry Trevino
708725,Maria Barnett
706678,Dr. Roy Castaneda
868470,Christopher Burns
637049,Lindsay Smith
854140,Aaron Zimmerman
268413,James Delgado
12415,Gina Miller
256128,Darin Edwards
106624,Wendy Sullivan
112768,John Davis
854146,Abigail Lara
26757,Jennifer Pace
635015,Charles Oliver
505997,Cindy Davis
766098,Kimberly Cruz
653460,Courtney Hill
614549,Stephanie Martinez DDS
962708,Susan Barr
475287,Chad Francis
493716,Ann Copeland
721048,Joseph Parker
389275,Kyle Warren
409755,Michael Johnson
428188,Sarah Rogers
884893,Theodore Gutierrez
274590,Melinda Johnston
925855,James Estrada
489635,Rita Santiago
915625,Emily Bailey
600237,Kevin Rogers
585906,Kelly Orr
274611,Mrs. Cynthia Nguyen
901300,Jeremy Garcia
700596,Shannon Gordon
657589,Michael White
73910,James Sanders
870584,Mariah Jones
291001,Stacey Carrillo
796857,Ryan Ramsey
721083,Michael Davis
325831,David Martin
848072,Cody Baldwin
762056,Kevin Cummings
659660,Michael Lewis
573647,James Snow
667855,James Mckinney
385239,Patrick Simon
647385,Victoria Martinez
100573,Nathan Pollard
338143,Samantha Smith
424161,Christopher Cortez
514274,Jeffrey Wilson
669924,Donald Newton
172266,Brandi Brown
8428,Donna Chaney
401645,Katherine Johnson
454896,Penny Rodriguez
813297,Charles Dougherty
12531,Cheyenne Miller
927987,David Moore
954612,Anna Diaz
819448,Michael Jimenez
854267,Melanie Shaw
882943,Kevin Thomas
598272,Lance Smith
272641,Cathy Fisher
809218,Daniel Edwards
983299,Dr. Valerie Mitchell
405764,Kyle Sims
801031,Jeffrey Crawford
559369,Jaclyn Ellison
69898,John Gutierrez
274700,Paige Navarro
229646,Joseph Meyer
313614,Christopher Malone
712977,Richard Miller
463122,Ann Miller
637208,Jennifer Keller
825629,Angela Salas
80160,Kimberly Martin
346403,Phillip Hall
465188,Abigail Sullivan
581926,Mary Russell
231724,Jimmy Walters
166195,Joshua Rodriguez
