book_id_rel,author_id_rel
632470,929605
149662,862302
419159,14869
862395,601215
460617,733897
373824,40816
617659,918335
496370,928487
601799,81859
553821,32379
319586,172544
34467,620084
857597,262132
956320,978382
163752,837334
470962,706923
807896,334279
520745,195483
364993,375220
269258,218693
69755,203696
625065,303866
751408,937737
331194,304173
784679,24271
939921,546629
338102,648226
271905,252302
941168,800066
806398,620058
970486,467855
792465,657224
886999,937870
627456,857945
418970,880197
514116,998237
801756,897395
514973,784837
480114,218693
862607,779995
694053,533380
192007,364313
333422,234267
585539,328242
931459,560564
925304,255617
578031,212241
484571,885634
715987,740065
575281,428188
344735,399847
496370,338143
162651,941544
74761,342456
968932,394945
328592,255617
864412,338143
249654,716831
328918,759639
713917,932184
165432,842383
931990,573647
614675,483397
868264,364313
959352,232890
567104,502183
906141,391699
73184,548794
63282,238480
340680,350247
440278,384946
918298,93621
817344,985462
818415,424564
608798,978382
449117,15930
688883,318271
673724,873266
807947,343774
923586,31571
244601,425874
458971,167793
304837,970072
978853,659660
193735,171571
446445,397006
111257,941544
402878,928487
420068,862975
337897,101291
993703,386988
961846,947746
906154,21387
553707,200591
360437,453680
795804,2390
330446,649278
661822,81899
960480,733278
322114,925052
801317,132284
830780,984089
42562,762056
2126,668430
981095,558477
476524,992235
455230,451252
580825,992235
785494,489249
103253,651012
896532,350247
787775,632457
613129,715190
512462,111022
805846,17953
986704,514274
330128,304979
155032,318635
729336,40816
740413,405764
761194,294514
399272,668803
12594,313061
746478,333220
984762,992907
811551,763809
903753,773129
306589,978285
625433,861723
473752,412848
127742,913808
668473,130302
282027,766098
884156,856503
867969,876000
590201,672248
971264,328890
139745,527102
472036,238480
497167,749418
158416,558554
765030,275914
419701,989678
526653,974649
568222,270835
482428,748491
150996,686794
516232,266897
972936,489083
310275,978382
152770,772463
827851,412373
160834,258958
364256,738130
190760,166195
322009,800066
376994,633727
671524,334279
564398,523662
226969,81497
855328,500475
162560,359006
694123,809468
28729,221549
263090,302988
490292,364906
52661,384946
522093,134956
364256,212241
101848,613683
450739,483266
470758,859876
629470,749418
870598,253378
610977,253378
51941,862587
949960,541907
970906,876862
864412,370507
440889,954612
881023,873266
649525,424564
955468,359111
422080,368373
274387,343875
885519,989678
176967,575088
350626,647698
108615,451252
417467,324348
350249,458761
96031,9737
765583,412848
14909,500153
35877,647178
474964,410419
865846,335111
661822,766098
820989,876862
467998,762877
560403,328529
637296,452431
37036,397006
712641,463122
261747,946018
334435,425384
542642,738130
322114,252763
155122,990851
131643,820294
61728,132284
532691,545092
728230,947746
917420,230580
890394,976751
137034,874140
487903,457308
520492,974649
921591,673555
583226,234267
40070,726857
923602,380251
702087,102869
142066,186333
742378,12531
851871,678981
790431,379593
470175,915625
126758,756243
98857,960923
844611,796857
486629,674352
743616,625681
785494,716254
198617,784837
683064,160180
421307,703317
80840,922399
908175,983941
886691,283916
998133,889812
78439,270129
75660,386855
728689,141995
82478,640445
104442,389275
965911,529693
251719,840801
760417,862587
791566,274700
499822,603518
912039,238480
360338,318271
657545,325831
203421,927987
678843,343774
194957,373498
249010,998237
371005,229646
535791,696172
896532,214014
828816,671214
408600,896665
790285,83279
676697,743285
417426,253875
827141,221577
643243,230828
441203,638549
514500,259037
930953,581926
20933,671403
289722,885634
668126,371847
801901,500475
621953,259037
5344,11228
192286,234287
240972,734288
575281,324348
798998,523662
872556,34027
485641,522612
786911,893988
575659,921333
609872,343774
574917,897395
665334,382118
136119,15410
935223,605383
754539,820186
927831,245383
624699,951057
371485,429617
575178,567788
103955,600237
376928,573836
991980,157008
36560,922507
960480,837334
648503,14900
364637,856503
769128,672885
249178,749418
5344,15948
557988,762877
846446,336558
976853,291001
653339,69144
647675,378573
227237,248999
433569,483397
500649,618264
695991,141803
687727,871318
583463,668803
12048,253529
902883,632009
54484,40816
133699,156427
939861,148127
613039,765180
959805,440188
905609,442099
830210,603518
247596,527644
25624,328242
831998,286627
596125,141146
762954,489083
239387,871318
862395,861723
109779,868470
253258,908390
537847,444297
787224,293350
702555,424338
485641,283916
484284,513219
593994,303866
923507,378573
586082,146932
492405,667855
