book_id_cat,category_name
98177,38
397965,42
581598,45
719075,43
457672,68
12970,53
244789,35
134074,62
285346,7
226221,63
729336,5
791566,8
52214,17
136071,53
649217,37
734105,11
203708,4
759340,56
970129,4
392004,38
976940,68
502684,2
577975,55
680180,24
1793,61
17787,67
790933,24
193772,25
224605,7
704431,55
128186,70
851931,67
197303,42
82829,53
900708,58
247536,11
868105,45
847625,49
251553,24
406000,66
345508,8
981153,4
411930,30
634515,49
530104,16
148373,29
927283,3
301447,34
66546,26
184384,30
601327,40
495958,52
388540,4
993240,65
695991,25
892047,43
794051,64
833464,36
186289,65
627812,70
635644,52
559847,25
323691,48
975937,22
96448,41
281455,6
840714,26
678102,35
528876,42
845366,51
465314,63
350499,9
192147,26
138232,2
413976,13
448073,56
605396,34
937831,30
699768,68
532830,21
386731,25
71661,52
54344,37
811003,54
827401,22
478101,52
98964,20
330178,12
893487,29
572696,51
685892,53
112972,66
200034,12
60102,54
275611,1
580094,52
923586,33
103470,38
492288,34
773486,8
333422,18
205281,9
3309,41
821863,22
714632,20
670715,64
288580,12
84562,31
846674,22
411136,27
921591,67
634071,38
9986,70
866817,8
965338,49
968435,59
667702,10
758421,54
288331,51
833864,25
388540,39
193772,2
993228,16
976853,34
361263,15
824735,6
20596,52
147428,15
391546,36
605950,56
210123,58
928112,41
729336,50
705480,59
100683,10
888735,4
146930,15
118902,47
1933,23
763023,41
852712,5
873496,35
655785,64
492184,33
371644,17
786173,28
840632,21
933773,23
232785,29
815258,42
834067,13
685915,59
177273,52
962537,20
617439,3
483159,59
63529,16
115526,37
855923,45
896662,33
684371,68
439653,39
824358,34
878278,17
441554,33
442006,62
864796,64
411136,17
69755,61
296164,27
339973,31
725912,32
552489,40
621542,10
696882,19
78108,57
145888,19
388880,27
529328,10
608589,35
427453,3
438623,59
237146,19
906154,62
45213,36
553826,38
229719,9
417467,39
866850,11
176967,43
62119,68
492405,30
551006,15
634232,36
586091,54
368814,42
553821,11
979754,38
458971,16
132947,65
343835,47
176857,11
683577,25
625779,55
814086,7
14502,40
15724,13
29547,6
67563,43
40151,67
126747,8
643243,15
440209,28
145888,22
840714,12
371005,14
615522,15
683577,24
865721,27
669569,30
152304,4
739993,19
467325,3
373398,5
20933,23
398999,18
723483,49
204846,17
592248,20
985836,9
265703,53
203716,21
334759,47
601124,69
3806,1
298710,66
97329,41
945708,25
113454,10
889528,65
863662,17
440889,69
949301,38
479737,15
867726,41
66021,63
393020,31
702796,54
271352,3
249654,34
560575,50
417467,54
247148,68
647395,8
877502,30
901047,64
304414,40
782195,17
462862,45
512505,24
770001,57
