unique_book_id,published_year,book_id,published_by,available
524288,1911-07-16,181506,Johnson-Jenkins,Unavailable
786437,1906-08-26,349670,Holmes-Bates,Available
655366,2008-11-13,178329,"Harris, Young and Mcbride",Unavailable
393226,1961-09-21,101867,Hughes-Acosta,Unavailable
11,1924-03-04,749864,Pugh and Sons,Available
262161,1924-08-05,227745,"Lee, Romero and Smith",Unavailable
917521,1962-01-15,615868,Nelson Ltd,Unavailable
131089,1917-04-04,410795,Hurst Inc,Unavailable
524307,1930-11-09,45213,Zimmerman-Holt,Unavailable
131092,1984-11-08,643507,"Vega, Smith and Mckee",Unavailable
262163,1944-04-07,514933,Wagner Group,Available
131096,1963-02-03,732648,"Foley, Myers and Ellis",Unavailable
655387,1964-09-08,488947,Hendricks Group,Unavailable
655389,2019-02-12,349988,"Smith, Walker and Harvey",Unavailable
655393,1952-12-22,462862,"Cook, Chung and Holmes",Available
131107,1924-07-11,199917,Williamson Inc,Available
524324,1936-09-17,179664,"Frank, Wiley and Douglas",Unavailable
35,1970-05-14,375487,Richards LLC,Available
524329,1947-12-28,849637,Silva-Palmer,Unavailable
917545,1958-08-24,638149,Burgess PLC,Available
524330,1988-11-17,776905,Osborn-Walker,Unavailable
524332,1978-10-24,43128,Perez-Hernandez,Available
48,1924-04-09,748022,"Hill, Mendez and Wilson",Available
524339,1937-11-18,261110,French Ltd,Unavailable
131123,2016-10-18,140069,"Guerrero, Warren and Chase",Available
655419,2011-07-25,388857,Lopez Group,Available
131132,1903-06-22,163524,Rivera-Smith,Unavailable
262204,1904-03-02,391569,"Rhodes, Young and Rose",Unavailable
524351,2011-01-18,361405,Smith-Morales,Available
131145,2017-11-08,387067,Robinson Ltd,Unavailable
786505,1994-09-22,180492,Berry-Parker,Available
75,1911-12-06,535791,Hensley-Green,Unavailable
76,1956-09-09,100280,"Hubbard, Johnson and Rivera",Unavailable
262223,1918-08-03,941527,Garrison-Garcia,Unavailable
393296,1998-03-21,985836,"Bryan, Mccullough and Burns",Unavailable
393298,2000-03-12,410827,Brown-Nunez,Unavailable
83,2017-06-30,963140,Mccarty PLC,Available
131155,1918-01-07,728502,Bennett Group,Available
786520,1904-05-02,706474,"Byrd, Wright and Russell",Available
393304,1963-10-09,993832,"Perez, Rivera and Morgan",Available
393310,1941-11-01,246312,"Phillips, Li and Williams",Available
99,1998-05-11,415561,Bryant-Hoffman,Unavailable
100,2015-10-26,358511,"Carter, Williams and Shepard",Unavailable
655459,1927-11-18,31515,Barron-Williams,Unavailable
393321,2007-03-06,33952,Brown Group,Available
107,2014-09-03,310085,Grant LLC,Available
786543,1958-12-27,612371,"Ho, Boone and Howell",Unavailable
786544,1957-06-20,753747,Cabrera Group,Unavailable
393328,1918-10-28,385872,Allen Group,Unavailable
786545,1972-10-01,79318,"Preston, Martin and Ward",Unavailable
131183,1936-11-10,341801,Downs Inc,Unavailable
786548,1992-05-30,434877,"Williams, Gonzales and Taylor",Unavailable
262260,1990-11-21,446491,Willis-Gilmore,Available
655478,1914-04-24,786380,"Lynch, Green and Rivera",Available
262263,2015-06-20,71661,"Lambert, Daniel and West",Unavailable
393336,1996-07-30,902669,"King, Johnson and Jenkins",Unavailable
524407,1922-01-20,573877,Guerrero Group,Unavailable
393335,1975-01-02,370518,Lynch Inc,Available
917628,1987-09-22,446119,Walker LLC,Available
262276,1950-09-06,950013,"Chapman, Schultz and Smith",Available
917636,1956-02-15,634027,Lee and Sons,Unavailable
131214,1911-02-25,515043,"Smith, Franklin and Wilson",Available
917655,1994-09-02,697665,Little Inc,Available
153,1914-03-29,296920,Knox-Watson,Unavailable
655516,1968-07-28,206374,Burns LLC,Unavailable
917660,1930-07-01,671279,Harvey Group,Available
131229,1960-06-05,173851,Wright-Simmons,Available
262303,1906-07-09,734553,Middleton-Smith,Available
156,1995-05-27,987865,Murphy-Dixon,Unavailable
131238,1987-04-01,35590,Henson LLC,Available
917673,1909-12-15,598131,"Mitchell, Cox and Barnes",Available
524459,1917-08-27,487903,Hill Inc,Available
655537,1933-10-28,140504,Hill-Smith,Unavailable
786611,1977-04-01,122373,Atkins LLC,Unavailable
655542,1929-02-11,280535,"Warren, Aguirre and Potts",Available
917687,1997-11-16,671176,Berry and Sons,Available
393405,2000-09-28,675926,Marquez-Price,Available
917699,1993-10-13,976430,Davis-Garcia,Unavailable
786628,1993-08-21,817018,"Campbell, Mccann and Stokes",Unavailable
131269,1991-03-26,967780,Wilson-Parker,Available
786629,1938-07-12,441203,"Davis, White and Martinez",Unavailable
917715,1933-07-30,224156,Miller and Sons,Available
131285,2012-09-19,319293,Jordan-Hamilton,Unavailable
131286,1978-06-01,985320,Morales Inc,Available
393433,1911-07-21,668727,"Johnson, Suarez and Ibarra",Unavailable
786650,1923-12-26,316111,Holt and Sons,Available
262366,1984-03-24,207156,Carney PLC,Available
