checkout_id,issue_date,due_date,actual_return_date,fine,unique_book_id2,customer_id_card_number2
1,2023-02-22,2023-04-21,2023-04-27,0.0,497424,1023
2,2023-03-21,2023-04-05,2023-04-23,0.0,213587,15568
3,2023-01-17,2023-04-07,2023-04-12,0.0,501039,22544
4,2023-04-23,2023-04-29,2023-05-04,0.0,852794,6458
5,2023-02-20,2023-03-28,2023-03-29,0.0,742196,3379
6,2023-01-19,2023-05-03,2023-05-06,0.0,420639,18712
7,2023-04-21,2023-05-02,2023-05-04,0.0,40401,18605
8,2023-01-15,2023-04-30,2023-05-06,0.0,634073,13805
9,2023-01-07,2023-03-11,2023-04-11,0.0,672650,9003
10,2023-02-11,2023-03-26,2023-05-01,0.0,634080,17541
11,2023-04-07,2023-04-24,2023-04-29,0.0,809736,24992
12,2023-03-25,2023-04-17,2023-04-27,0.0,46454,1195
13,2023-01-22,2023-02-22,2023-03-16,0.0,208777,9624
14,2023-04-08,2023-04-15,2023-04-26,0.0,272643,23004
15,2023-01-27,2023-03-11,2023-03-12,0.0,954523,20564
16,2023-03-22,2023-04-12,2023-04-27,0.0,35548,8431
17,2023-01-18,2023-02-28,2023-03-03,0.0,543955,7067
18,2023-01-08,2023-04-23,2023-04-25,0.0,468448,14076
19,2023-01-08,2023-02-25,2023-04-10,0.0,161264,22641
20,2023-01-17,2023-05-01,2023-05-05,0.0,104374,7521
21,2023-01-12,2023-03-10,2023-03-29,0.0,499262,18474
22,2023-04-27,2023-05-02,2023-05-03,0.0,380534,2423
23,2023-02-28,2023-04-29,2023-05-04,0.0,212340,7160
24,2023-04-14,2023-04-17,2023-05-05,0.0,796844,13093
25,2023-04-17,2023-04-27,2023-04-28,0.0,703055,23584
26,2023-03-11,2023-03-19,2023-04-08,0.0,719718,5786
27,2023-03-06,2023-03-08,2023-04-03,0.0,379751,2536
28,2023-03-08,2023-04-07,2023-04-25,0.0,870857,11389
29,2023-04-06,2023-04-26,2023-05-06,0.0,44763,18782
30,2023-02-21,2023-03-05,2023-04-20,0.0,947298,4794
31,2023-04-27,2023-05-04,2023-05-05,0.0,928187,11763
32,2023-03-21,2023-03-29,2023-04-12,0.0,127414,21610
33,2023-04-06,2023-04-29,2023-05-06,0.0,858572,13204
34,2023-03-11,2023-04-05,2023-04-20,0.0,625890,20123
35,2023-03-10,2023-04-12,2023-04-14,0.0,380877,13880
36,2023-02-12,2023-02-27,2023-04-13,0.0,355891,14812
37,2023-01-05,2023-01-09,2023-04-19,0.0,238837,6285
38,2023-03-13,2023-04-15,2023-05-02,0.0,973507,629
39,2023-04-12,2023-05-05,2023-05-06,0.0,201022,5470
40,2023-03-30,2023-04-25,2023-05-03,0.0,320891,6428
41,2023-01-13,2023-02-10,2023-04-23,0.0,231741,23290
42,2023-02-27,2023-04-20,2023-04-29,0.0,916224,2896
43,2023-02-15,2023-03-09,2023-04-15,0.0,730011,21873
44,2023-01-10,2023-01-22,2023-02-11,0.0,33027,11920
45,2023-04-15,2023-04-29,2023-04-30,0.0,387453,6067
46,2023-04-15,2023-04-17,2023-05-01,0.0,759220,11222
47,2023-04-01,2023-04-09,2023-05-03,0.0,994148,7246
48,2023-01-23,2023-04-14,2023-05-06,0.0,41608,13826
49,2023-01-21,2023-02-12,2023-02-24,0.0,304407,23407
50,2023-04-24,2023-04-28,2023-04-30,0.0,777885,5369
51,2023-04-26,2023-05-03,2023-05-06,0.0,49946,16288
52,2023-01-21,2023-03-10,2023-03-18,0.0,50991,20331
53,2023-03-20,2023-04-08,2023-04-10,0.0,428621,17906
54,2023-04-13,2023-04-18,2023-05-01,0.0,93414,2410
55,2023-03-10,2023-03-25,2023-05-01,0.0,921928,2491
56,2023-02-10,2023-03-11,2023-03-28,0.0,602691,862
57,2023-04-19,2023-05-03,2023-05-04,0.0,977366,4133
58,2023-01-27,2023-03-31,2023-04-14,0.0,798207,15420
59,2023-02-11,2023-02-26,2023-03-27,0.0,557599,3680
60,2023-02-18,2023-04-20,2023-04-29,0.0,155634,12054
61,2023-03-26,2023-04-02,2023-04-08,0.0,891617,7810
62,2023-04-16,2023-04-20,2023-04-29,0.0,598914,6600
63,2023-02-21,2023-03-29,2023-05-04,0.0,198570,5696
64,2023-02-08,2023-03-02,2023-04-22,0.0,965147,18601
65,2023-03-18,2023-04-09,2023-04-23,0.0,330008,15872
66,2023-03-22,2023-04-16,2023-05-02,0.0,505690,12211
67,2023-01-18,2023-02-26,2023-04-15,0.0,864262,22219
68,2023-03-19,2023-03-26,2023-04-17,0.0,146191,22827
69,2023-01-25,2023-05-06,2023-05-07,0.0,614573,14647
70,2023-04-04,2023-04-25,2023-04-30,0.0,597257,9378
71,2023-03-11,2023-04-08,2023-04-25,0.0,603968,19755
72,2023-03-07,2023-03-23,2023-04-17,0.0,571383,22144
73,2023-01-04,2023-04-02,2023-04-22,0.0,646042,278
74,2023-04-15,2023-04-29,2023-05-01,0.0,170190,4644
75,2023-02-28,2023-03-07,2023-03-26,0.0,284913,18373
76,2023-01-25,2023-02-27,2023-04-19,0.0,201465,9461
77,2023-02-26,2023-04-25,2023-05-01,0.0,987543,13294
78,2023-03-15,2023-04-12,2023-05-01,0.0,757453,5364
79,2023-02-01,2023-04-17,2023-04-29,0.0,568858,21759
80,2023-02-12,2023-03-07,2023-03-16,0.0,111475,21921
81,2023-02-16,2023-03-24,2023-04-26,0.0,688129,15179
82,2023-01-09,2023-02-26,2023-03-03,0.0,197628,7594
83,2023-01-03,2023-02-03,2023-04-10,0.0,436201,24513
84,2023-01-21,2023-04-22,2023-05-01,0.0,255228,8092
85,2023-03-17,2023-05-03,2023-05-04,0.0,874098,7662
86,2023-03-29,2023-04-30,2023-05-02,0.0,53577,2625
87,2023-03-31,2023-04-30,2023-05-06,0.0,25944,7594
88,2023-03-16,2023-04-04,2023-04-29,0.0,429119,3753
89,2023-01-20,2023-03-15,2023-05-04,0.0,173709,16200
90,2023-01-07,2023-02-11,2023-03-19,0.0,852645,18598
91,2023-03-08,2023-04-20,2023-04-22,0.0,867111,5772
92,2023-03-02,2023-04-09,2023-05-04,0.0,543218,20312
93,2023-03-25,2023-04-22,2023-04-24,0.0,747167,2564
94,2023-02-02,2023-04-20,2023-04-27,0.0,320749,13209
95,2023-01-04,2023-03-14,2023-03-25,0.0,693459,17229
96,2023-03-08,2023-03-26,2023-03-29,0.0,723160,21177
97,2023-02-27,2023-03-05,2023-04-28,0.0,537559,19456
98,2023-01-06,2023-01-19,2023-03-26,0.0,9175,18299
99,2023-02-09,2023-04-01,2023-04-15,0.0,725094,5739
100,2023-04-10,2023-04-15,2023-04-26,0.0,517416,9588
101,2023-01-07,2023-03-08,2023-03-30,0.0,485211,4274
102,2023-03-20,2023-04-11,2023-04-23,0.0,320235,19044
103,2023-03-19,2023-04-23,2023-05-05,0.0,488503,22312
104,2023-01-14,2023-02-24,2023-04-24,0.0,838789,12266
105,2023-04-23,2023-04-26,2023-05-04,0.0,334233,12923
106,2023-04-12,2023-05-05,2023-05-06,0.0,587902,2832
107,2023-01-29,2023-02-16,2023-03-23,0.0,116030,21846
108,2023-02-09,2023-03-11,2023-04-12,0.0,652432,17883
109,2023-04-25,2023-04-30,2023-05-04,0.0,320663,5108
110,2023-03-23,2023-05-05,2023-05-06,0.0,301966,10801
111,2023-03-22,2023-04-18,2023-04-24,0.0,709430,15417
112,2023-03-23,2023-04-09,2023-04-21,0.0,495447,21418
113,2023-01-15,2023-01-22,2023-03-31,0.0,727957,14819
114,2023-04-10,2023-05-02,2023-05-06,0.0,279067,24827
115,2023-03-22,2023-04-21,2023-04-27,0.0,383542,15020
116,2023-04-21,2023-05-03,2023-05-06,0.0,687082,8729
117,2023-01-10,2023-03-07,2023-04-20,0.0,582059,2386
118,2023-02-12,2023-03-05,2023-04-03,0.0,558619,19780
119,2023-02-17,2023-04-15,2023-04-27,0.0,784781,18281
120,2023-03-27,2023-04-11,2023-04-18,0.0,905235,20322
121,2023-01-24,2023-03-29,2023-04-03,0.0,771554,5051
122,2023-01-02,2023-01-31,2023-04-12,0.0,690379,19945
123,2023-04-25,2023-04-29,2023-04-30,0.0,317624,21675
124,2023-02-14,2023-03-13,2023-04-19,0.0,782671,10836
125,2023-02-19,2023-04-24,2023-05-05,0.0,165642,13948
126,2023-04-27,2023-04-30,2023-05-05,0.0,624628,2297
127,2023-02-23,2023-03-14,2023-04-11,0.0,456982,9685
128,2023-01-20,2023-03-17,2023-04-13,0.0,10160,21616
129,2023-01-16,2023-01-26,2023-03-15,0.0,338490,20268
130,2023-04-03,2023-04-24,2023-04-28,0.0,735134,7378
131,2023-03-13,2023-04-05,2023-04-22,0.0,911718,20389
